Time;Free disk space on /
2019-03-24T22:00:00+01:00;217651492864
2019-03-24T23:00:00+01:00;217591934293
2019-03-25T00:00:00+01:00;195395091933
2019-03-25T01:00:00+01:00;217877467136
2019-03-25T02:00:00+01:00;217877467136
2019-03-25T03:00:00+01:00;217848707140
2019-03-25T04:00:00+01:00;217825335091
2019-03-25T05:00:00+01:00;216776189576
2019-03-25T06:00:00+01:00;215828926464
2019-03-25T07:00:00+01:00;215793903616
2019-03-25T08:00:00+01:00;215723857920
2019-03-25T09:00:00+01:00;215632936960
2019-03-25T10:00:00+01:00;215618949120
2019-03-25T11:00:00+01:00;215548962133
2019-03-25T12:00:00+01:00;215513968640
2019-03-25T13:00:00+01:00;215513968640
2019-03-25T14:00:00+01:00;215442237576
2019-03-25T15:00:00+01:00;215394779409
2019-03-25T16:00:00+01:00;215302369280
2019-03-25T17:00:00+01:00;215302369280
2019-03-25T18:00:00+01:00;215286502092
2019-03-25T19:00:00+01:00;215196588032
2019-03-25T20:00:00+01:00;215196588032
2019-03-25T21:00:00+01:00;215196588032
2019-03-25T22:00:00+01:00;215115094971
2019-03-25T23:00:00+01:00;215090292736
2019-03-26T00:00:00+01:00;192538284100
2019-03-26T01:00:00+01:00;215753991168
2019-03-26T02:00:00+01:00;215698788352
2019-03-26T03:00:00+01:00;215765412352
2019-03-26T04:00:00+01:00;215791415296
2019-03-26T05:00:00+01:00;215791415296
2019-03-26T06:00:00+01:00;216447199061
2019-03-26T07:00:00+01:00;217398675456
2019-03-26T08:00:00+01:00;217398675456
2019-03-26T09:00:00+01:00;217398675456
2019-03-26T10:00:00+01:00;217292824610
2019-03-26T11:00:00+01:00;217291030528
2019-03-26T12:00:00+01:00;217188500138
2019-03-26T13:00:00+01:00;217184964608
2019-03-26T14:00:00+01:00;217151545685
2019-03-26T15:00:00+01:00;217079431168
2019-03-26T16:00:00+01:00;217079431168
2019-03-26T17:00:00+01:00;217012252194
2019-03-26T18:00:00+01:00;216973359104
2019-03-26T19:00:00+01:00;216973359104
2019-03-26T20:00:00+01:00;216973359104
2019-03-26T21:00:00+01:00;216973359104
2019-03-26T22:00:00+01:00;216973359104
2019-03-26T23:00:00+01:00;216908675447
2019-03-27T00:00:00+01:00;196903962350
2019-03-27T01:00:00+01:00;226942814276
2019-03-27T02:00:00+01:00;226935984128
2019-03-27T03:00:00+01:00;226891597960
