Time;Number of packets transmitted on interface Network adapter 1
2019-03-27T07:00:00+01:00;20131
2019-03-27T08:00:00+01:00;20956
2019-03-27T09:00:00+01:00;23682
2019-03-27T10:00:00+01:00;45461
2019-03-27T11:00:00+01:00;22566
2019-03-27T12:00:00+01:00;21213
2019-03-27T13:00:00+01:00;14979
2019-03-27T14:00:00+01:00;45610
2019-03-27T15:00:00+01:00;23556
2019-03-27T16:00:00+01:00;23013
2019-03-27T17:00:00+01:00;16088
2019-03-27T18:00:00+01:00;38065
2019-03-27T19:00:00+01:00;18148
2019-03-27T20:00:00+01:00;9918
2019-03-27T21:00:00+01:00;7130
2019-03-27T22:00:00+01:00;9700
2019-03-27T23:00:00+01:00;9660
2019-03-28T00:00:00+01:00;9829
2019-03-28T01:00:00+01:00;8161
2019-03-28T02:00:00+01:00;9874
2019-03-28T03:00:00+01:00;12369
2019-03-28T04:00:00+01:00;6493
2019-03-28T05:00:00+01:00;7621
2019-03-28T06:00:00+01:00;42620
2019-03-28T07:00:00+01:00;16760
2019-03-28T08:00:00+01:00;22511
2019-03-28T09:00:00+01:00;18304
2019-03-28T10:00:00+01:00;47823
2019-03-28T11:00:00+01:00;20240
2019-03-28T12:00:00+01:00;27248
2019-03-28T13:00:00+01:00;24115
2019-03-28T14:00:00+01:00;45250
2019-03-28T15:00:00+01:00;26098
2019-03-28T16:00:00+01:00;20601
2019-03-28T17:00:00+01:00;16687
2019-03-28T18:00:00+01:00;41443
2019-03-28T19:00:00+01:00;18269
2019-03-28T20:00:00+01:00;8731
2019-03-28T21:00:00+01:00;7775
2019-03-28T22:00:00+01:00;9423
2019-03-28T23:00:00+01:00;11989
2019-03-29T00:00:00+01:00;10365
2019-03-29T01:00:00+01:00;10209
2019-03-29T02:00:00+01:00;10171
2019-03-29T03:00:00+01:00;7089
2019-03-29T04:00:00+01:00;7796
2019-03-29T05:00:00+01:00;9952
2019-03-29T06:00:00+01:00;10015
2019-03-29T07:00:00+01:00;12459
2019-03-29T08:00:00+01:00;27753
2019-03-29T09:00:00+01:00;22450
2019-03-29T10:00:00+01:00;17579
2019-03-29T11:00:00+01:00;15174
2019-03-29T12:00:00+01:00;23139
2019-03-29T13:00:00+01:00;19386
2019-03-29T14:00:00+01:00;31481
2019-03-29T15:00:00+01:00;13255
2019-03-29T16:00:00+01:00;24096
2019-03-29T17:00:00+01:00;18544
