Time;Number of bytes received
2019-03-24T15:00:00+01:00;23505612
2019-03-24T16:00:00+01:00;24338705
2019-03-24T17:00:00+01:00;25271381
2019-03-24T18:00:00+01:00;22371242
2019-03-24T19:00:00+01:00;24962184
2019-03-24T20:00:00+01:00;29379703
2019-03-24T21:00:00+01:00;33535965
2019-03-24T22:00:00+01:00;32231731
2019-03-24T23:00:00+01:00;22164701
2019-03-25T00:00:00+01:00;12585949
2019-03-25T01:00:00+01:00;6604339
2019-03-25T02:00:00+01:00;5170739
2019-03-25T03:00:00+01:00;4062259
2019-03-25T04:00:00+01:00;3242953
2019-03-25T05:00:00+01:00;3118336
2019-03-25T06:00:00+01:00;3425962
2019-03-25T07:00:00+01:00;8740864
2019-03-25T08:00:00+01:00;7800678
2019-03-25T09:00:00+01:00;7049745
2019-03-25T10:00:00+01:00;5678062
2019-03-25T11:00:00+01:00;7897531
2019-03-25T12:00:00+01:00;22248552
2019-03-25T13:00:00+01:00;21100373
2019-03-25T14:00:00+01:00;6928503
2019-03-25T15:00:00+01:00;9325762
2019-03-25T16:00:00+01:00;9398596
2019-03-25T17:00:00+01:00;12035891
2019-03-25T18:00:00+01:00;17068322
2019-03-25T19:00:00+01:00;25980928
2019-03-25T20:00:00+01:00;26924882
2019-03-25T21:00:00+01:00;37772987
2019-03-25T22:00:00+01:00;37703697
2019-03-25T23:00:00+01:00;21755511
2019-03-26T00:00:00+01:00;9147669
2019-03-26T01:00:00+01:00;4867259
2019-03-26T02:00:00+01:00;3607722
2019-03-26T03:00:00+01:00;7151872
2019-03-26T04:00:00+01:00;1531435
2019-03-26T05:00:00+01:00;1521902
2019-03-26T06:00:00+01:00;1556889
2019-03-26T07:00:00+01:00;7551709
2019-03-26T08:00:00+01:00;9274385
2019-03-26T09:00:00+01:00;8361420
2019-03-26T10:00:00+01:00;6937907
2019-03-26T11:00:00+01:00;7383647
2019-03-26T12:00:00+01:00;18083072
2019-03-26T13:00:00+01:00;23801139
2019-03-26T14:00:00+01:00;11107174
2019-03-26T15:00:00+01:00;9106449
2019-03-26T16:00:00+01:00;8298905
2019-03-26T17:00:00+01:00;12297094
2019-03-26T18:00:00+01:00;19376315
2019-03-26T19:00:00+01:00;23334682
2019-03-26T20:00:00+01:00;22172518
2019-03-26T21:00:00+01:00;23782468
2019-03-26T22:00:00+01:00;25814510
2019-03-26T23:00:00+01:00;20895897
2019-03-27T00:00:00+01:00;8988996
2019-03-27T01:00:00+01:00;3747174
2019-03-27T02:00:00+01:00;5335569
2019-03-27T03:00:00+01:00;2161920
2019-03-27T04:00:00+01:00;1219375
2019-03-27T05:00:00+01:00;1188551
2019-03-27T06:00:00+01:00;1785702
2019-03-27T07:00:00+01:00;7666841
2019-03-27T08:00:00+01:00;4060108
2019-03-27T09:00:00+01:00;3929292
2019-03-27T10:00:00+01:00;4459161
2019-03-27T11:00:00+01:00;4790459
2019-03-27T12:00:00+01:00;17285519
2019-03-27T13:00:00+01:00;18281045
2019-03-27T14:00:00+01:00;5999189
2019-03-27T15:00:00+01:00;7820902
2019-03-27T16:00:00+01:00;10614698
2019-03-27T17:00:00+01:00;10503645
2019-03-27T18:00:00+01:00;15549249
2019-03-27T19:00:00+01:00;22066661
2019-03-27T20:00:00+01:00;21975193
2019-03-27T21:00:00+01:00;25173807
2019-03-27T22:00:00+01:00;25842585
2019-03-27T23:00:00+01:00;19458747
2019-03-28T00:00:00+01:00;12056610
2019-03-28T01:00:00+01:00;6171733
2019-03-28T02:00:00+01:00;7910541
2019-03-28T03:00:00+01:00;3382306
2019-03-28T04:00:00+01:00;5103457
2019-03-28T05:00:00+01:00;2922496
2019-03-28T06:00:00+01:00;2847590
2019-03-28T07:00:00+01:00;8853486
2019-03-28T08:00:00+01:00;6714562
2019-03-28T09:00:00+01:00;10292343
2019-03-28T10:00:00+01:00;7420142
2019-03-28T11:00:00+01:00;11357320
2019-03-28T12:00:00+01:00;12633309
2019-03-28T13:00:00+01:00;20736699
