Time;Number of bytes transmitted on interface Network adapter 1
2019-03-25T13:00:00+01:00;34304
2019-03-25T14:00:00+01:00;44151
2019-03-25T15:00:00+01:00;26606
2019-03-25T16:00:00+01:00;16674
2019-03-25T17:00:00+01:00;17066
2019-03-25T18:00:00+01:00;76356
2019-03-25T19:00:00+01:00;20087
2019-03-25T20:00:00+01:00;14762
2019-03-25T21:00:00+01:00;18500
2019-03-25T22:00:00+01:00;7611
2019-03-25T23:00:00+01:00;32426
2019-03-26T00:00:00+01:00;8021
2019-03-26T01:00:00+01:00;8652
2019-03-26T02:00:00+01:00;11332
2019-03-26T03:00:00+01:00;4232
2019-03-26T04:00:00+01:00;23449
2019-03-26T05:00:00+01:00;18056
2019-03-26T06:00:00+01:00;45380
2019-03-26T07:00:00+01:00;13636
2019-03-26T08:00:00+01:00;23808
2019-03-26T09:00:00+01:00;20514
2019-03-26T10:00:00+01:00;66713
2019-03-26T11:00:00+01:00;29235
2019-03-26T12:00:00+01:00;77021
2019-03-26T13:00:00+01:00;57600
2019-03-26T14:00:00+01:00;69495
2019-03-26T15:00:00+01:00;47121
2019-03-26T16:00:00+01:00;33570
2019-03-26T17:00:00+01:00;19217
2019-03-26T18:00:00+01:00;55859
2019-03-26T19:00:00+01:00;26299
2019-03-26T20:00:00+01:00;13260
2019-03-26T21:00:00+01:00;5734
2019-03-26T22:00:00+01:00;5290
2019-03-26T23:00:00+01:00;35003
2019-03-27T00:00:00+01:00;12800
2019-03-27T01:00:00+01:00;12424
2019-03-27T02:00:00+01:00;4420
2019-03-27T03:00:00+01:00;4130
2019-03-27T04:00:00+01:00;10581
2019-03-27T05:00:00+01:00;12185
2019-03-27T06:00:00+01:00;30446
2019-03-27T07:00:00+01:00;11008
2019-03-27T08:00:00+01:00;24064
2019-03-27T09:00:00+01:00;17783
2019-03-27T10:00:00+01:00;57702
2019-03-27T11:00:00+01:00;28313
2019-03-27T12:00:00+01:00;67908
2019-03-27T13:00:00+01:00;24081
2019-03-27T14:00:00+01:00;44066
2019-03-27T15:00:00+01:00;28501
2019-03-27T16:00:00+01:00;25019
2019-03-27T17:00:00+01:00;18688
2019-03-27T18:00:00+01:00;65194
2019-03-27T19:00:00+01:00;18278
2019-03-27T20:00:00+01:00;13141
2019-03-27T21:00:00+01:00;17476
2019-03-27T22:00:00+01:00;11861
2019-03-27T23:00:00+01:00;53896
2019-03-28T00:00:00+01:00;4334
2019-03-28T01:00:00+01:00;5683
2019-03-28T02:00:00+01:00;14796
2019-03-28T03:00:00+01:00;19046
2019-03-28T04:00:00+01:00;4881
2019-03-28T05:00:00+01:00;10581
2019-03-28T06:00:00+01:00;31368
2019-03-28T07:00:00+01:00;13243
2019-03-28T08:00:00+01:00;34781
2019-03-28T09:00:00+01:00;42461
2019-03-28T10:00:00+01:00;60347
2019-03-28T11:00:00+01:00;19660
2019-03-28T12:00:00+01:00;76202
2019-03-28T13:00:00+01:00;31470
2019-03-28T14:00:00+01:00;22391
2019-03-28T15:00:00+01:00;28552
2019-03-28T16:00:00+01:00;17544
2019-03-28T17:00:00+01:00;14045
2019-03-28T18:00:00+01:00;70058
2019-03-28T19:00:00+01:00;10871
2019-03-28T20:00:00+01:00;4027
2019-03-28T21:00:00+01:00;10956
2019-03-28T22:00:00+01:00;4608
2019-03-28T23:00:00+01:00;45056
2019-03-29T00:00:00+01:00;8260
2019-03-29T01:00:00+01:00;8072
