Time;dsi-openmanage: CPU usage;IF-MSSQL-TESTS: CPU usage;PCT-QRC-TEAM: CPU usage;MATEIS-CHIMITHEQUE: CPU usage;MSIF2018-WEB: CPU usage;MSIF2018-MID: CPU usage;CETHIL-FLEXLM2: CPU usage;HEBERGEMENTS: CPU usage;MOUVINSA-PRIV: CPU usage;MOUVINSA: CPU usage;TC-NET3: CPU usage
2019-06-06T16:46:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:47:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:48:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:49:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T16:50:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:51:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:52:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:53:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T16:54:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T16:55:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:56:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T16:57:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:58:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:59:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T17:00:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T17:01:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T17:02:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T17:03:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T17:04:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
