Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T03:12:00+02:00;8289500000;2,25E+11;980992;16599040;8;0;1;0;0;4,5;2;0,5;2,5;0;1,5;2
2019-06-27T03:14:00+02:00;7032500000;2,25E+11;1387520;14487552;5;0;0,5;0;3,5;4,5;2;1;2;0;0,5;2
2019-06-27T03:16:00+02:00;7217500000;2,25E+11;1447936;26788352;0;0;1;1;3;7;1,5;1,5;3;1,5;3;1
2019-06-27T03:18:00+02:00;9472500000;2,25E+11;1333760;22175232;0;0;1;0;3,5;4;4;5,5;3,5;0;2;2
2019-06-27T03:20:00+02:00;6502000000;2,25E+11;1380352;21453824;1,5;0;0,5;0;0,5;4,5;1;0,5;1,5;0;2;1
2019-06-27T03:22:00+02:00;7659000000;2,25E+11;995328;23907328;2,5;0;0,5;0;0,5;4;1;0;6;0;1;1,5
2019-06-27T03:24:00+02:00;9293000000;2,25E+11;1134592;21210624;11,5;5,5;10,5;0;5,5;5,5;25;2,5;10;0,5;5,5;2
2019-06-27T03:26:00+02:00;7782500000;2,25E+11;1118720;21631488;0;0;1;0;0;6;3;2;2;0;1;1,5
2019-06-27T03:28:00+02:00;8736000000;2,25E+11;1412096;13794304;0,5;2;0,5;0;0;5;1,5;0,5;2,5;2;1;1,5
2019-06-27T03:30:00+02:00;7511500000;2,25E+11;5681152;27041280;0;0;2;0;4;6;2;5;17;1,5;9;6,5
2019-06-27T03:32:00+02:00;8371500000;2,25E+11;12402688;33303552;4;0;0,5;0;1;5,5;7,5;4;15,5;1;9;6,5
2019-06-27T03:34:00+02:00;10455500000;2,25E+11;6309376;26626048;0;3;3;0;4;4;2;1,5;4,5;0;2,5;2
2019-06-27T03:36:00+02:00;8604500000;2,25E+11;1341440;24434688;5,5;0;1,5;0;0;4,5;4;2,5;8;1;3;3
2019-06-27T03:38:00+02:00;9731000000;2,25E+11;1155584;20754432;1;0,5;2,5;0;1,5;2,5;1;1;1;0;2;0,5
2019-06-27T03:40:00+02:00;8360500000;2,25E+11;860160;25566720;0;0,5;2,5;0;1,5;3;2;2;2;0;2;1
2019-06-27T03:42:00+02:00;8983500000;2,25E+11;1278464;22472192;5;0;1;1,5;0,5;4;4;2;4,5;0;5,5;3
2019-06-27T03:44:00+02:00;9284500000;2,25E+11;1073152;26680832;3,5;0;0,5;0;0;5;11;0;1;0;1;0,5
2019-06-27T03:46:00+02:00;6991500000;2,25E+11;823296;13364224;6,5;0,5;1;0;10;5;1,5;3,5;3,5;0;4;1,5
2019-06-27T03:48:00+02:00;5961500000;2,25E+11;1184768;21189632;6;0;3;0;14;3;1;1;3;4,5;1,5;1,5
